,vuosi,etuus,kuukausi_nro,vuosikuukausi,kunta_nro,saaja_lkm,saaja_laskenta_lkm,maksettu_eur,maksettu_laskenta_eur,average,overall_change,change,pisteluku,index_fixed_average
11,2020,Opintolainan valtiontakaus,13992,235545992,530450,92924,92924,0.0,437860601.51,4712.029201390384,28.516248489790996,0.8225743934684893,1.0209419750020694,4781.594964082105
12,2020,Opintoraha,13764,231707764,523913,92132,91426,147223167.99,156001990.51,1706.3197614464157,38.79560911338194,2.2820000360973536,1.0209419750020694,1702.445401446539
13,2020,Opintoraha ja asumislisä yhteensä,13764,231707764,523913,92132,91426,149194769.03,158240553.94,1730.804737601995,17.92555504595998,1.2371490981644362,1.0209419750020694,1748.7502555786884
14,2020,Yhteensä,14052,236556052,533861,93172,93145,149194769.03,596101155.45,6399.711798271513,53.317737849636615,0.9951194258551288,1.0209419750020694,6479.300086188513
15,2021,Asumislisä,2316,39007616,82228,1897,1864,1178936.18,1306899.16,701.1261587982832,-24.61215449862027,4.296803812178895,1.029964406919957,747.4846314339351
16,2021,Opintolainan valtiontakaus,14832,249810432,561969,98852,98852,0.0,459193642.38,4645.264055153159,-38.24889774743406,-1.4169085840453732,1.029964406919957,4823.851640836195
17,2021,Opintoraha,14016,236066816,533993,93857,93143,149531603.82,159030452.58,1707.3795409209497,39.85538858791597,0.06210907817394418,1.029964406919957,1717.490524582397
18,2021,Opintoraha ja asumislisä yhteensä,14016,236066816,533993,93857,93143,150710540.0,160337351.74,1721.410645351771,8.53146279573616,-0.5427586397318995,1.029964406919957,1764.2045913868672
19,2021,Yhteensä,14868,250416768,563008,99028,99007,150710540.0,619530994.12,6257.446383791045,-88.94767663083076,-2.2229972062006276,1.029964406919957,6536.559994522755
20,2022,Asumislisä,2928,49339728,107360,4412,4343,3422919.55,3288380.53,757.167978355975,31.429665059071567,7.993114912977495,1.0749937919046437,780.1641813415185
21,2022,Opintolainan valtiontakaus,14592,245889792,558582,101244,101244,0.0,470489591.37,4647.086161846628,-36.426791053964735,0.039225040209456274,1.0749937919046437,5034.747348673123
22,2022,Opintoraha,13884,233959284,529302,96074,95316,158997120.52,169810585.34,1781.5538350329432,114.02968269990947,4.344335417770351,1.0749937919046437,1792.5781116090648
23,2022,Opintoraha ja asumislisä yhteensä,13884,233959284,529302,96074,95316,162420040.07,173098965.87,1816.0536097821982,103.17442722616329,5.497988796919917,1.0749937919046437,1841.3344875304385
24,2022,Yhteensä,14628,246496428,560173,101435,101402,162420040.07,643588557.24,6346.902006272066,0.5079458501895715,1.4295867194761946,1.0749937919046437,6822.334215934021
25,2023,Asumislisä,2952,49768752,106867,4937,4858,3722760.74,3592117.3,739.423075339646,13.684762042742477,-2.343588678282227,1.1657975333167785,846.0639354750094
26,2023,Opintolainan valtiontakaus,14424,243179024,553972,101988,101988,0.0,477064841.93,4677.656605973252,-5.8563469273403825,0.657841130160497,1.1657975333167785,5460.027847748692
27,2023,Opintoraha,13668,230433368,525423,97117,96379,173841142.51,182883489.85999998,1897.5450031645896,230.0208508315559,6.510674325454868,1.1657975333167785,1943.9955435360027
28,2023,Opintoraha ja asumislisä yhteensä,13668,230433368,525423,97118,96380,177563903.25,186475607.16,1934.7956750363146,221.91649248027966,6.538466960144262,1.1657975333167785,1996.8703258934854
29,2023,Yhteensä,14484,244190584,555286,102187,102160,177563903.25,663540449.09,6495.110112470635,148.71605204875868,2.335125168973917,1.1657975333167785,7398.610541096077
30,2024,Asumislisä,2976,50198176,111441,4868,4807,3752730.04,3575022.0,743.7116704805492,17.973357183645703,0.5799920619103283,1.2039566261071102,873.7574511136048
31,2024,Opintolainan valtiontakaus,14700,247954700,564097,103084,103084,0.0,550736243.25,5342.596748767995,659.0837958674028,14.215240638776926,1.2039566261071102,5638.746453103146
32,2024,Opintoraha,13860,233785860,531297,98437,97573,183396018.13,188258182.6,1929.4085720434955,261.88441971046177,1.679199640892115,1.2039566261071102,2007.6267523949982
33,2024,Opintoraha ja asumislisä yhteensä,13860,233785860,531297,98437,97573,187148748.17,191833204.6,1966.0480317300892,253.16884917405423,1.615279437359085,1.2039566261071102,2062.232241559269
34,2024,Yhteensä,14760,248966760,566940,103294,103269,187148748.17,742569447.85,7190.632695678278,844.2386352564017,10.70840326282132,1.2039566261071102,7640.783180931726
